,index,articles
0,0,https://www.foxbusiness.com/lifestyle/coronavirus-vulnerable-customers
1,1,https://www.foxbusiness.com/lifestyle/powerful-men-are-relying-on-botox-non-invasive-procedures
2,2,https://www.foxbusiness.com/money/us-gdp-12-percent-deficit-3-trillion
3,3,https://www.foxbusiness.com/money/coronavirus-impact-on-social-security
4,4,https://www.foxbusiness.com/markets/boeing-ends-its-deal-with-brazilian-jet-maker-embraer
5,5,https://www.foxbusiness.com/sports/coronavirus-stadiums-arenas
6,6,https://www.foxbusiness.com/lifestyle/kanye-west-billionaire
7,7,https://www.foxbusiness.com/money/charities-struggling-financially-coronavirus
8,8,https://www.foxbusiness.com/lifestyle/commercial-burglaries-coronavirus-shutdown-new-york-city
9,9,https://www.foxbusiness.com/lifestyle/nashville-musicians-find-themselves-without-jobs-or-benefits
10,10,https://www.foxbusiness.com/sports/nfl-marques-colston-coronavirus-quarantine-routine
11,11,https://www.foxbusiness.com/lifestyle/expensive-retirement-communities-cost-millions
12,12,https://www.foxbusiness.com/lifestyle/no-evidence-that-recovered-covid-19-patients-cannot-be-reinfected-w-h-o
13,13,https://www.foxbusiness.com/real-estate/what-you-can-get-for-1m-phoenix
14,14,https://www.foxbusiness.com/markets/trump-apples-tim-cook-sees-v-shaped-recovery
15,15,https://www.foxbusiness.com/money/irs-coronavirus-stimulus-get-my-payment-tool-getting-an-update
16,16,https://www.foxbusiness.com/markets/coronavirus-ignites-surge-government-spending
17,17,https://www.foxbusiness.com/personal-finance/coronavirus-stimulus-cash-states-received-most-money
18,18,https://www.foxbusiness.com/politics/bloomberg-moves-past-presidential-defeat-with-virus-crusade
19,19,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
20,20,https://www.foxbusiness.com/lifestyle/despite-risks-auto-workers-step-up-to-make-medical-gear
21,21,https://www.foxbusiness.com/markets/as-coronavirus-decimates-energy-industry-us-mulls-taking-stakes-in-companies-mnuchin
22,22,https://www.foxbusiness.com/markets/citiadels-ken-griffin-makes-big-tesla-bet
23,23,https://www.foxbusiness.com/markets/scaramuccis-skybridge-redemption-requests-hedge-funds
24,24,https://www.foxbusiness.com/sports/2020-nfl-draft-betting-draftkings-jason-robins
25,25,https://www.foxbusiness.com/sports/nfl-draft-joe-burrow-bengals-marques-colston
26,26,https://www.foxbusiness.com/markets/coronavirus-forces-hormel-foods-to-close-2-jennie-o-turkey-plants
27,27,https://www.foxbusiness.com/sports/jerry-jones-nfl-draft-super-yacht
28,28,https://www.foxbusiness.com/personal-finance/coronavirus-ppp-loans-should-business-owners-update-their-applications
29,29,https://www.foxbusiness.com/markets/autonation-coronavirus-loan
30,30,https://www.foxbusiness.com/money/coronavirus-pandemic-could-hurt-low-wage-workers-the-most-study-finds
31,31,https://www.foxbusiness.com/markets/pandemic-could-fuel-demand-for-diaspora-bonds-says-world-bank
32,32,https://www.foxbusiness.com/lifestyle/columbia-university-pace-university-students-tuition-housing
33,33,https://www.foxbusiness.com/features/corporate-bankruptcies-likely-to-surge-as-states-request-federal-aid
34,34,https://www.foxbusiness.com/lifestyle/amazon-extending-pay-bump-to-workers-during-coronavirus
35,35,https://www.foxbusiness.com/lifestyle/gates-nataioanl-coronavirus-test-concerns
36,36,https://www.foxbusiness.com/technology/french-court-amazon-coronavirus-deliveries
37,37,https://www.foxbusiness.com/markets/disney-on-ice-workers-laid-off-coronavirus-pandemic
38,38,https://www.foxbusiness.com/lifestyle/ikea-visitors-returning-fast-in-china-germany
39,39,https://www.foxbusiness.com/money/luxury-hotel-owner-is-biggest-beneficiary-of-coronavirus-small-business-program-with-nearly-60m-in-aid
40,40,https://video.foxbusiness.com/v/6151989695001/?playlist_id=933116651001
41,41,https://video.foxbusiness.com/v/6151944147001/?playlist_id=933116651001
42,42,https://video.foxbusiness.com/v/6151951603001/?playlist_id=933116651001
43,43,https://video.foxbusiness.com/v/6151965363001/?playlist_id=933116651001
44,44,https://video.foxbusiness.com/v/6151922163001/?playlist_id=933116651001
45,45,https://www.foxbusiness.com/money/us-gdp-12-percent-deficit-3-trillion
46,46,https://www.foxbusiness.com/money/charities-struggling-financially-coronavirus
47,47,https://www.foxbusiness.com/money/coronavirus-impact-on-social-security
48,48,https://www.foxbusiness.com/money/irs-coronavirus-stimulus-get-my-payment-tool-getting-an-update
49,49,https://www.foxbusiness.com/money/coronavirus-pandemic-could-hurt-low-wage-workers-the-most-study-finds
50,50,https://www.foxbusiness.com/markets/disney-touts-giving-spirit-as-100000-workers-go-unpaid
51,51,https://www.foxbusiness.com/markets/boeing-ends-its-deal-with-brazilian-jet-maker-embraer
52,52,https://www.foxbusiness.com/markets/coronavirus-ignites-surge-government-spending
53,53,https://www.foxbusiness.com/markets/as-coronavirus-decimates-energy-industry-us-mulls-taking-stakes-in-companies-mnuchin
54,54,https://www.foxbusiness.com/markets/trump-apples-tim-cook-sees-v-shaped-recovery
55,55,https://www.foxbusiness.com/lifestyle/commercial-burglaries-coronavirus-shutdown-new-york-city
56,56,https://www.foxbusiness.com/lifestyle/kanye-west-billionaire
57,57,https://www.foxbusiness.com/lifestyle/powerful-men-are-relying-on-botox-non-invasive-procedures
58,58,https://www.foxbusiness.com/lifestyle/nashville-musicians-find-themselves-without-jobs-or-benefits
59,59,https://www.foxbusiness.com/lifestyle/despite-risks-auto-workers-step-up-to-make-medical-gear
60,60,https://www.foxbusiness.com/real-estate/what-you-can-get-for-1m-phoenix
61,61,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
62,62,https://www.foxbusiness.com/real-estate/princes-former-mansion-hits-the-market-for-30m
63,63,https://www.foxbusiness.com/real-estate/new-home-sales-coronavirus-march
64,64,https://www.foxbusiness.com/real-estate/after-coronavirus-subsides-wealthy-hamptons-real-estate-market-poised-for-takeoff
65,65,https://www.foxbusiness.com/small-business/godaddy-slack-paypal-salesforce-small-business
66,66,https://www.foxbusiness.com/technology/french-court-amazon-coronavirus-deliveries
67,67,https://www.foxbusiness.com/technology/apple-apple-google-coronavirus-contact-tracing-updates
68,68,https://www.foxbusiness.com/technology/facebook-gets-rid-of-pseudoscience-ad-targeting-category
69,69,https://www.foxbusiness.com/technology/droneup-ups-testing-coronavirus-medical-supply-delivery
70,70,https://www.foxbusiness.com/technology/amazon-says-it-doesnt-use-sellers-data-after-wall-street-journal-story
71,71,https://www.foxbusiness.com/sports/nfl-marques-colston-coronavirus-quarantine-routine
72,72,https://www.foxbusiness.com/sports/coronavirus-stadiums-arenas
73,73,https://www.foxbusiness.com/sports/jerry-jones-nfl-draft-super-yacht
74,74,https://www.foxbusiness.com/sports/2020-nfl-draft-viewership-record-tv-ratings
75,75,https://www.foxbusiness.com/sports/nfl-draft-joe-burrow-bengals-marques-colston
76,76,https://www.foxbusiness.com/lifestyle/commercial-burglaries-coronavirus-shutdown-new-york-city
77,77,https://www.foxbusiness.com/lifestyle/california-restaurants-to-get-public-money-for-healthy-meals
78,78,https://www.foxbusiness.com/personal-finance/coronavirus-ppp-loans-should-business-owners-update-their-applications
79,79,https://www.foxbusiness.com/lifestyle/family-restaurant-declines-coronavirus-relief-nyc
80,80,https://www.foxbusiness.com/money/coronavirus-pandemic-could-hurt-low-wage-workers-the-most-study-finds
81,81,https://www.foxbusiness.com/markets/disney-touts-giving-spirit-as-100000-workers-go-unpaid
82,82,https://www.foxbusiness.com/money/coronavirus-impact-on-social-security
83,83,https://www.foxbusiness.com/personal-finance/coronavirus-stimulus-cash-states-received-most-money
84,84,https://www.foxbusiness.com/money/what-happens-debt-collections-credit-score
85,85,https://www.foxbusiness.com/money/how-negative-interest-rates-loan-savings
86,86,https://www.foxbusiness.com/real-estate/what-you-can-get-for-1m-phoenix
87,87,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
88,88,https://www.foxbusiness.com/real-estate/princes-former-mansion-hits-the-market-for-30m
89,89,https://www.foxbusiness.com/lifestyle/florida-fisher-island-approved-ppp-loan-report
90,90,https://www.foxbusiness.com/real-estate/after-coronavirus-subsides-wealthy-hamptons-real-estate-market-poised-for-takeoff
91,91,https://www.foxbusiness.com/lifestyle/kanye-west-billionaire
92,92,https://www.foxbusiness.com/politics/bloomberg-moves-past-presidential-defeat-with-virus-crusade
93,93,https://www.foxbusiness.com/sports/jerry-jones-nfl-draft-super-yacht
94,94,https://www.foxbusiness.com/sports/nfl-draft-joe-burrow-bengals-marques-colston
95,95,https://www.foxbusiness.com/real-estate/reese-witherspoon-sells-17m-california-mansion
96,96,https://www.foxbusiness.com/technology/intel-coronavirus-relief-50m-donation-vaccine
97,97,https://www.foxbusiness.com/technology/sanitation-product-coronavirus-bacteria-phones-keys
98,98,https://www.foxbusiness.com/technology/apple-good-news-foxconn-chinese-factories-running
99,99,https://www.foxbusiness.com/markets/hp-rejects-xerox-takeover-offer
100,100,https://www.foxbusiness.com/technology/donotpay-app-robocalls-sue-anyone
